Title,Year,Plot,Runtime,Genre,Imdb rating
Citizen Kane,(1941),"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",119 min,"Drama, Mystery            ",8.3
The Godfather,(1972),The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,175 min,"Crime, Drama            ",9.2
The Wizard of Oz,(1939),"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",102 min,"Adventure, Family, Fantasy            ",8.1
Last release: Rita Hayworth,(1994),"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142 min,Drama            ,9.3
Pulp Fiction,(1994),"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154 min,"Crime, Drama            ",8.9
Casablanca,(1942),A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,102 min,"Drama, Romance, War            ",8.5
The third man,(1949),"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",104 min,"Film-Noir, Mystery, Thriller            ",8.1
Star Wars: Episode 5 - The Empire Counterattack,(1980),"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",124 min,"Action, Adventure, Fantasy            ",8.7
Schindler's List,(1993),"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",195 min,"Biography, Drama, History            ",9
Revelation now!,(1979),A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,147 min,"Drama, Mystery, War            ",8.5
The good guys,(1990),"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",145 min,"Biography, Crime, Drama            ",8.7
Singing in the rain,(1952),A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,103 min,"Comedy, Musical, Romance            ",8.3
Cool,(1960),"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",109 min,"Horror, Mystery, Thriller            ",8.5
2001: The odyssey of space,(1968),"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomputer.",149 min,"Adventure, Sci-Fi            ",8.3
Fight Club,(1999),An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,139 min,Drama            ,8.8
Angry idol,(1980),"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",129 min,"Biography, Drama, Sport            ",8.2
The taxi driver,(1976),"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",114 min,"Crime, Drama            ",8.3
The seven samurai,(1954),A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,207 min,"Action, Drama            ",8.6
The 400 hits,(1959),"A young boy, left without attention, delves into a life of petty crime.",99 min,"Crime, Drama            ",8.1
The 12 jurors,(1957),The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,96 min,"Crime, Drama            ",9
S.O.S. Pentagon calls Moscow,(1964),"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",95 min,"Comedy, War            ",8.4
Bound of Vertigo,(1958),"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",128 min,"Mystery, Romance, Thriller            ",8.3
"The good, the bad and the ugly",(1966),A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,161 min,"Adventure, Western            ",8.8
The city lights,(1931),"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",87 min,"Comedy, Drama, Romance            ",8.5
Gone With the Wind,(1939),The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,238 min,"Drama, History, Romance            ",8.2
The port of agony,(1954),"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",108 min,"Crime, Drama, Thriller            ",8.1
